name,display_name
denEffDate,Dental Eff  Date
DenTermDate,Dental Term Date
effectiveDate,Medical Eff Date
insurancePolicyNumber,Insurance Policy Number
ltdEffDate,Ltd Eff Date
ltdTermDate,Ltd Term Date
memberCityId,Member City
paidThrough,Query Period
pcpFirstName,PCP First Name
pcpLastName,PCP Last Name
pcpMiddleName,PCP Middle Name
pcpNPI,PCP NPI
pcpTIN,PCP TIN
rxEffDate,RX Eff Date
rxTermDate,RX Term Date
stdEffDate,Std Eff Date
stdTermDate,Std Term Date
terminationDate,Medical Term Date
unblindMemberId,Member ID
visEffDate,Vision Eff Date
visTermDate,Vision Term Date
dob,DOB
firstName,Member First Name
fullName,Member Name
gender,Gender
lastClaimDate,Last Claim Date
lastName,Member Last Name
memberZipId,Member Zip
middleName,Member Middle Name
paidDate,Paid Date
priorDischargeDate,Prior D/C Date
providerFirstName,Provider First Name
providerId,Provider ID
providerLastName,Provider Last Name
providerMiddleName,Provider Middle Name
providerName,Provider Name
providerNPI,Provider NPI
providerTIN,Provider TIN
prvFullName,Provider Full Name
serviceFrom,Admit Date
subsequentAdmitDate,Subsequent Admit Date
writtenDate,Written Date
