ZipCode,StateFIPS,State,CountyFIPS,County
"00670","72","PR","027","CAMUY"
"00670","72","PR","083","LAS MARIAS"
"00694","72","PR","143","VEGA ALTA"
"00694","72","PR","145","VEGA BAJA"
"00704","72","PR","057","GUAYAMA"
"00704","72","PR","123","SALINAS"
"00745","72","PR","029","CANOVANAS"
"00745","72","PR","069","HUMACAO"
"00745","72","PR","119","RIO GRANDE"
"00785","72","PR","059","GUAYANILLA"
"00785","72","PR","057","GUAYAMA"
"00934","72","PR","021","BAYAMON"
"00934","72","PR","061","GUAYNABO"
"00976","72","PR","127","SAN JUAN"
"00976","72","PR","139","TRUJILLO ALTO"
"00979","72","PR","031","CAROLINA"
"00979","72","PR","127","SAN JUAN"
"00981","72","PR","031","CAROLINA"
"00981","72","PR","127","SAN JUAN"
"01011","25","MA","013","HAMPDEN"
"01011","25","MA","015","HAMPSHIRE"
"01054","25","MA","011","FRANKLIN"
"01054","25","MA","015","HAMPSHIRE"
"01223","25","MA","003","BERKSHIRE"
"01223","25","MA","013","HAMPDEN"
"01366","25","MA","011","FRANKLIN"
"01366","25","MA","027","WORCESTER"
"01434","25","MA","017","MIDDLESEX"
"01434","25","MA","027","WORCESTER"
"02339","25","MA","021","NORFOLK"
"02339","25","MA","023","PLYMOUTH"
"02467","25","MA","017","MIDDLESEX"
"02467","25","MA","021","NORFOLK"
"02467","25","MA","025","SUFFOLK"
"02532","25","MA","001","BARNSTABLE"
"02532","25","MA","023","PLYMOUTH"
"02554","25","MA","019","NANTUCKET"
"02554","25","MA","023","PLYMOUTH"
"02562","25","MA","001","BARNSTABLE"
"02562","25","MA","023","PLYMOUTH"
"02762","25","MA","005","BRISTOL"
"02762","25","MA","021","NORFOLK"
"03103","33","NH","011","HILLSBOROUGH"
"03103","33","NH","015","ROCKINGHAM"
"03220","33","NH","001","BELKNAP"
"03220","33","NH","013","MERRIMACK"
"03244","33","NH","011","HILLSBOROUGH"
"03244","33","NH","019","SULLIVAN"
"03257","33","NH","013","MERRIMACK"
"03257","33","NH","019","SULLIVAN"
"03276","33","NH","001","BELKNAP"
"03276","33","NH","013","MERRIMACK"
"03574","33","NH","007","COOS"
"03574","33","NH","009","GRAFTON"
"03579","33","NH","007","COOS"
"03579","23","ME","017","OXFORD"
"03748","33","NH","009","GRAFTON"
"03748","33","NH","019","SULLIVAN"
"03813","33","NH","003","CARROLL"
"03813","23","ME","017","OXFORD"
"03887","33","NH","003","CARROLL"
"03887","33","NH","017","STRAFFORD"
"04040","23","ME","005","CUMBERLAND"
"04040","23","ME","017","OXFORD"
"04429","23","ME","009","HANCOCK"
"04429","23","ME","019","PENOBSCOT"
"04497","23","ME","003","AROOSTOOK"
"04497","23","ME","019","PENOBSCOT"
"04930","23","ME","019","PENOBSCOT"
"04930","23","ME","025","SOMERSET"
"04937","23","ME","011","KENNEBEC"
"04937","23","ME","025","SOMERSET"
"05051","50","VT","005","CALEDONIA"
"05051","50","VT","017","ORANGE"
"05444","50","VT","007","CHITTENDEN"
"05444","50","VT","015","LAMOILLE"
"05676","50","VT","007","CHITTENDEN"
"05676","50","VT","023","WASHINGTON"
"05847","50","VT","015","LAMOILLE"
